,Index,id,food_name,price,area,counter,tags,time,_8,备注
0,0,,牛肉饼,5.0,学二食堂,早餐柜台,"咸鲜, 牛肉",早餐,,早餐一般都不分柜台
1,1,,糊塌子,1.5,学二食堂,早餐柜台,,早餐,,
2,2,,咸菜,0.3,学二食堂,早餐柜台,咸菜,早餐,,
3,3,,紫米发糕,0.8,学二食堂,早餐柜台,"紫米, 发糕",早餐,,
4,4,,玉米发糕,0.8,学二食堂,早餐柜台,"玉米, 发糕",早餐,,
5,5,,鸡蛋,0.5,学二食堂,早餐柜台,,早餐,,
6,6,,手抓饼,2.5,学二食堂,早餐柜台,,早餐,,
7,7,,自制面包,1.5,学二食堂,早餐柜台,,早餐,,
8,8,,麻酱火烧,1.0,学二食堂,早餐柜台,,早餐,,
9,9,,麻酱花卷,0.5,学二食堂,早餐柜台,,早餐,,
10,10,,馒头,0.4,学二食堂,早餐柜台,,早餐,,
11,11,,锅贴,0.8,学二食堂,早餐柜台,,早餐,,
12,12,,酱肉包,2.0,学二食堂,早餐柜台,,早餐,,
13,13,,酱三鲜包,1.0,学二食堂,早餐柜台,三鲜,早餐,,
14,14,,红糖火烧,2.0,学二食堂,早餐柜台,"红糖, 烧饼, 火烧",早餐,,
15,15,,油盐花卷,0.4,学二食堂,早餐柜台,"油盐, 花卷",早餐,,
16,16,,辣花卷,0.5,学二食堂,早餐柜台,"辣, 花卷",早餐,,
17,17,,糖三角,0.5,学二食堂,早餐柜台,红糖,早餐,,
18,18,,凤尾酥,1.5,学二食堂,早餐柜台,,早餐,,
19,19,,玉米饼,0.5,学二食堂,早餐柜台,玉米,早餐,,
20,20,,小豆包,0.5,学二食堂,早餐柜台,豆沙,早餐,,
21,21,,面包圈,1.2,学二食堂,早餐柜台,,早餐,,
22,22,,鲜肉包（手工）,0.6,学二食堂,早餐柜台,,早餐,,
23,23,,鲜肉包（机器）,0.6,学二食堂,早餐柜台,,早餐,,
24,24,,雪菜包,1.2,学二食堂,早餐柜台,,早餐,,
25,25,,油盐酥,2.0,学二食堂,早餐柜台,油盐,早餐,,
26,26,,起酥,1.5,学二食堂,早餐柜台,,早餐,,
27,27,,五仁酥,1.5,学二食堂,早餐柜台,五仁,早餐,,
28,28,,麻团,1.5,学二食堂,早餐柜台,,早餐,,
29,29,,南瓜饼,2.0,学二食堂,早餐柜台,南瓜,早餐,,
30,30,,牛舌酥,1.5,学二食堂,早餐柜台,,早餐,,
31,31,,豆沙酥,1.5,学二食堂,早餐柜台,豆沙,早餐,,
32,32,,莲花酥,1.5,学二食堂,早餐柜台,,早餐,,
33,33,,麻花,2.0,学二食堂,早餐柜台,,早餐,,
34,34,,油饼,0.4,学二食堂,早餐柜台,,早餐,,
35,35,,三鲜小包,0.6,学二食堂,早餐柜台,三鲜,早餐,,
36,36,,奶,2.0,学二食堂,早餐柜台,,早餐,,
37,37,,自制豆包,0.8,学二食堂,早餐柜台,豆沙,早餐,,
38,38,,紫米粥,1.5,学二食堂,早餐柜台,"紫米, 粥",早餐,,
39,39,,大米粥,0.3,学二食堂,早餐柜台,"大米, 粥",早餐,,
40,40,,小米粥,1.0,学二食堂,早餐柜台,"小米, 粥",早餐,,
41,41,,玉米粥,0.3,学二食堂,早餐柜台,"玉米, 粥",早餐,,
42,42,,黄桥烧饼（甜）,2.0,学二食堂,早餐柜台,"甜, 烧饼",早餐,,
43,43,,黄桥烧饼（咸）,1.5,学二食堂,早餐柜台,"咸, 烧饼",早餐,,
44,44,,猪肉饼,2.0,学二食堂,早餐柜台,猪肉,早餐,,
45,45,,烧卖,1.4,学二食堂,早餐柜台,,早餐,,
46,46,,甜咸酥,1.5,学二食堂,早餐柜台,,早餐,,
47,47,,杂粮豆浆,3.0,学二食堂,早餐柜台,豆浆,早餐,,
48,48,,馄饨,1.5,学二食堂,早餐柜台,,早餐,,
49,49,,炸糕,1.5,学二食堂,早餐柜台,,早餐,,
50,50,,紫薯包,0.8,学二食堂,早餐柜台,,早餐,,
51,58,,玉米饼,1.0,清真食堂,早餐柜台,玉米,早餐,,
